cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
5245, 0, 5, 2, 0, 0.994913, 11630, 2.21735, 0.443884, 3598057
5246, 6144, 3, 6, 0, 0.994913, 11633, 2.2175, 0.443776, 3598744
5247, 6288, 3, 7, 0, 0.994913, 11636, 2.21765, 0.448598, 3599410
5248, 137364, 3, 7, 0, 0.994913, 11639, 2.2178, 0.443153, 3599525
5249, 0, 0, 1, 0, 0.994913, 11639, 2.21737, 0.434764, 3599789
5250, 18432, 3, 2, 0, 0.994913, 11642, 2.21752, 0.430137, 3600652
5251, 22560, 3, 7, 0, 0.994913, 11645, 2.21767, 0.417113, 3600876
5252, 0, 1, 1, 0, 0.994913, 11646, 2.21744, 0.42398, 3600853
5253, 18432, 3, 5, 0, 0.994913, 11649, 2.21759, 0.440674, 3600337
5254, 19008, 3, 7, 0, 0.994913, 11652, 2.21774, 0.437976, 3600988
5255, 19014, 3, 2, 0, 0.994913, 11655, 2.21789, 0.437272, 3601582
5256, 0, 1, 7, 0, 0.994913, 11656, 2.21766, 0.429229, 3601806
5257, 36, 3, 4, 0, 0.994913, 11659, 2.2178, 0.453588, 3601803
5258, 294, 3, 4, 0, 0.994913, 11662, 2.21795, 0.44375, 3601706
5259, 0, 0, 0, 0, 0.994913, 11662, 2.21753, 0.433589, 3603158
5260, 98304, 3, 7, 0, 0.994913, 11665, 2.21768, 0.445385, 3603623
5261, 100356, 3, 6, 0, 0.994913, 11668, 2.21783, 0.451953, 3602579
5262, 108564, 3, 4, 0, 0.994913, 11671, 2.21798, 0.440088, 3604037
5263, 108948, 3, 4, 0, 0.994913, 11674, 2.21813, 0.432303, 3603328
5264, 0, 0, 3, 0, 0.994913, 11674, 2.21771, 0.433042, 3604294
5265, 132096, 3, 4, 0, 0.994913, 11677, 2.21785, 0.449207, 3604022
5266, 132360, 3, 7, 0, 0.994913, 11680, 2.218, 0.462833, 3604083
5267, 0, 0, 4, 0, 0.994913, 11680, 2.21758, 0.438107, 3605150
5268, 288, 3, 5, 0, 0.994913, 11683, 2.21773, 0.435264, 3605400
5269, 33120, 3, 4, 0, 0.994913, 11686, 2.21788, 0.437742, 3605676
5270, 0, 0, 0, 0, 0.994913, 11686, 2.21746, 0.449755, 3606589
5271, 66048, 3, 5, 0, 0.994913, 11689, 2.21761, 0.440435, 3606686
5272, 66114, 3, 4, 0, 0.994913, 11692, 2.21775, 0.423805, 3606259
5273, 0, 0, 0, 0, 0.994913, 11692, 2.21733, 0.456956, 3605702
5274, 65664, 3, 4, 0, 0.994913, 11695, 2.21748, 0.442584, 3605728
5275, 98688, 3, 5, 0, 0.994913, 11698, 2.21763, 0.444637, 3606452
5276, 0, 0, 0, 0, 0.994913, 11698, 2.21721, 0.430991, 3607784
5277, 65664, 3, 4, 0, 0.994913, 11701, 2.21736, 0.442561, 3607647
5278, 65952, 3, 4, 0, 0.994913, 11704, 2.21751, 0.443103, 3608376
5279, 0, 0, 0, 0, 0.994913, 11704, 2.21709, 0.433814, 3608196
5280, 65544, 3, 8, 0, 0.994913, 11707, 2.21723, 0.442396, 3608302
5281, 65577, 3, 4, 0, 0.994913, 11710, 2.21738, 0.451701, 3608984
5282, 0, 5, 3, 0, 0.994913, 11715, 2.21791, 0.456186, 3609230
5283, 33792, 3, 8, 0, 0.994913, 11718, 2.21806, 0.450826, 3609086
5284, 33921, 3, 5, 0, 0.994913, 11721, 2.21821, 0.446436, 3610711
5285, 0, 0, 2, 0, 0.994913, 11721, 2.21779, 0.436303, 3609575
5286, 4224, 3, 8, 0, 0.994913, 11724, 2.21793, 0.442253, 3609013
5287, 4257, 3, 3, 0, 0.994913, 11727, 2.21808, 0.437017, 3610317
5288, 38049, 3, 4, 0, 0.994913, 11730, 2.21823, 0.439223, 3610117
5289, 38313, 3, 7, 0, 0.994913, 11733, 2.21838, 0.454803, 3612300
5290, 0, 0, 0, 0, 0.994913, 11733, 2.21796, 0.435661, 3611373
5291, 65538, 3, 8, 0, 0.994913, 11736, 2.21811, 0.437719, 3611899
5292, 0, 0, 5, 0, 0.994913, 11736, 2.21769, 0.443356, 3612811
5293, 2112, 3, 2, 0, 0.994913, 11739, 2.21783, 0.436206, 3611246
5294, 6210, 3, 7, 0, 0.994913, 11742, 2.21798, 0.434922, 3611581
5295, 137286, 3, 5, 0, 0.994913, 11745, 2.21813, 0.453573, 3613510
5296, 0, 0, 0, 0, 0.994913, 11745, 2.21771, 0.470491, 3612968
5297, 98304, 3, 5, 0, 0.994913, 11748, 2.21786, 0.453018, 3613238
5298, 100416, 3, 3, 0, 0.994913, 11751, 2.21801, 0.452179, 3613536
5299, 0, 0, 5, 0, 0.994913, 11751, 2.21759, 0.441557, 3613695
5300, 32832, 3, 6, 0, 0.994913, 11754, 2.21774, 0.445921, 3612430
5301, 32850, 3, 4, 0, 0.994913, 11757, 2.21788, 0.454899, 3613634
5302, 35154, 3, 4, 0, 0.994913, 11760, 2.21803, 0.446599, 3614070
5303, 0, 0, 4, 0, 0.994913, 11760, 2.21761, 0.433731, 3612919
5304, 8448, 3, 6, 0, 0.994913, 11763, 2.21776, 0.43927, 3613727
5305, 139536, 3, 6, 0, 0.994913, 11766, 2.21791, 0.466605, 3614610
